adult-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
adult-alpha_1-beta_1-gamma_1,1571998410,0,-0.0206,0.5382,0.0002,1.0,0.559,0.67
adult-alpha_1-beta_1-gamma_1,1571998417,1,1.2573,1.8556,0.0001,1.0,0.5984,0.67
adult-alpha_1-beta_1-gamma_1,1571998424,2,-0.1634,0.3304,0.0,1.0,0.4939,0.67
adult-alpha_1-beta_1-gamma_1,1571998432,3,-0.0152,0.4915,0.0,1.0,0.5067,0.67
adult-alpha_1-beta_1-gamma_1,1571998439,4,0.156,0.6198,0.0,1.0,0.4638,0.83
adult-alpha_1-beta_1-gamma_1,1571998446,5,-0.2026,0.4489,0.0,1.0,0.6515,0.67
adult-alpha_1-beta_1-gamma_1,1571998454,6,0.2787,1.068,0.0,1.0,0.7893,0.5
adult-alpha_1-beta_1-gamma_1,1571998461,7,0.1346,0.4753,0.0,1.0,0.3408,0.83
adult-alpha_1-beta_1-gamma_1,1571998468,8,-0.2464,0.4766,0.0,1.0,0.723,0.33
adult-alpha_1-beta_1-gamma_1,1571998476,9,0.0101,0.4531,0.0,1.0,0.4429,0.67
adult-alpha_1-beta_1-gamma_1,1571998483,10,-0.2659,0.4464,0.0,1.0,0.7122,0.5
adult-alpha_1-beta_1-gamma_1,1571998490,11,0.3786,0.8353,0.0,1.0,0.4568,1.0
adult-alpha_1-beta_1-gamma_1,1571998498,12,-0.0179,0.5433,0.0,1.0,0.5613,0.67
adult-alpha_1-beta_1-gamma_1,1571998505,13,0.4233,0.665,0.0,1.0,0.2417,1.0
adult-alpha_1-beta_1-gamma_1,1571998512,14,0.1071,0.5843,0.0,1.0,0.4772,0.67
adult-alpha_1-beta_1-gamma_1,1571998520,15,-0.0827,0.3295,0.0,1.0,0.4122,0.83
adult-alpha_1-beta_1-gamma_1,1571998527,16,0.052,0.6496,0.0,1.0,0.5976,0.83
adult-alpha_1-beta_1-gamma_1,1571998534,17,-0.0669,0.3106,0.0,1.0,0.3775,0.83
adult-alpha_1-beta_1-gamma_1,1571998541,18,0.0055,0.4392,0.0,1.0,0.4337,0.67
adult-alpha_1-beta_1-gamma_1,1571998548,19,0.4375,1.9548,0.0,1.0,1.5173,0.33
adult-alpha_1-beta_1-gamma_1,1571998556,20,1.84,2.5656,0.0,1.0,0.7257,0.67
adult-alpha_1-beta_1-gamma_1,1571998563,21,2.4332,3.4504,0.0,1.0,1.0172,0.5
adult-alpha_1-beta_1-gamma_1,1571998570,22,1.7938,2.4799,0.0,1.0,0.6861,0.83
adult-alpha_1-beta_1-gamma_1,1571998578,23,0.1397,0.7782,0.0,1.0,0.6385,0.5
adult-alpha_1-beta_1-gamma_1,1571998585,24,-0.2034,0.4536,0.0,1.0,0.657,0.83
adult-alpha_1-beta_1-gamma_1,1571998592,25,-0.0483,0.3348,0.0,1.0,0.3831,0.83
adult-alpha_1-beta_1-gamma_1,1571998599,26,-0.1544,0.5673,0.0,1.0,0.7217,0.67
adult-alpha_1-beta_1-gamma_1,1571998607,27,0.3265,1.0891,0.0,1.0,0.7626,0.5
adult-alpha_1-beta_1-gamma_1,1571998614,28,-0.1573,0.4079,0.0,1.0,0.5652,0.67
adult-alpha_1-beta_1-gamma_1,1571998621,29,-0.0962,0.512,0.0,1.0,0.6082,0.5
adult-alpha_1-beta_1-gamma_1,1571998629,30,0.3995,0.9967,0.0,1.0,0.5972,0.67
