compas-alpha_1-beta_0.0-gamma_0.5,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_0.5,1571659902,0,0.3663,0.0,0.6909,0.67,0.3246,0.63
compas-alpha_1-beta_0.0-gamma_0.5,1571659903,1,0.3683,0.0,0.6854,0.53,0.3171,0.6
compas-alpha_1-beta_0.0-gamma_0.5,1571659904,2,0.3831,0.0,0.6849,0.67,0.3018,0.63
compas-alpha_1-beta_0.0-gamma_0.5,1571659905,3,0.4351,0.0,0.6936,0.53,0.2586,0.83
compas-alpha_1-beta_0.0-gamma_0.5,1571659905,4,0.4456,0.0,0.6809,0.57,0.2352,0.9
compas-alpha_1-beta_0.0-gamma_0.5,1571659906,5,0.5102,0.0,0.6866,0.53,0.1763,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659907,6,0.4862,0.0,0.6551,0.63,0.169,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659907,7,0.4438,0.0,0.6306,0.7,0.1868,0.93
compas-alpha_1-beta_0.0-gamma_0.5,1571659908,8,0.4991,0.0,0.6671,0.63,0.1679,0.93
compas-alpha_1-beta_0.0-gamma_0.5,1571659909,9,0.5037,0.0,0.6491,0.67,0.1454,0.9
compas-alpha_1-beta_0.0-gamma_0.5,1571659909,10,0.5261,0.0,0.6679,0.7,0.1417,0.9
compas-alpha_1-beta_0.0-gamma_0.5,1571659910,11,0.5584,0.0,0.6762,0.6,0.1178,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659911,12,0.5562,0.0,0.6447,0.7,0.0885,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659911,13,0.5762,0.0,0.65,0.63,0.0738,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659912,14,0.6093,0.0,0.6975,0.53,0.0882,0.93
compas-alpha_1-beta_0.0-gamma_0.5,1571659913,15,0.6568,0.0,0.7385,0.5,0.0816,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659913,16,0.5309,0.0,0.6183,0.7,0.0874,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659914,17,0.6417,0.0,0.7253,0.57,0.0836,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659915,18,0.6603,0.0,0.7254,0.6,0.0651,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659915,19,0.581,0.0,0.6343,0.7,0.0532,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659916,20,0.6978,0.0,0.7471,0.63,0.0493,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659916,21,0.6095,0.0,0.6608,0.67,0.0513,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659917,22,0.6308,0.0,0.663,0.63,0.0322,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659918,23,0.6467,0.0,0.6976,0.63,0.0509,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659918,24,0.5594,0.0,0.6163,0.73,0.0569,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659919,25,0.661,0.0,0.7109,0.53,0.0499,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659920,26,0.612,0.0,0.6921,0.53,0.0801,0.93
compas-alpha_1-beta_0.0-gamma_0.5,1571659920,27,0.7122,0.0,0.7467,0.47,0.0345,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659921,28,0.6375,0.0,0.6584,0.67,0.0209,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659922,29,0.5697,0.0,0.6159,0.57,0.0462,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659923,30,0.6538,0.0,0.6835,0.63,0.0297,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659923,31,0.6209,0.0,0.6624,0.6,0.0415,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659924,32,0.6449,0.0,0.6672,0.63,0.0223,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659925,33,0.5641,0.0,0.602,0.63,0.0379,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659926,34,0.6447,0.0,0.6874,0.53,0.0427,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659927,35,0.5937,0.0,0.6178,0.57,0.0241,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659928,36,0.6631,0.0,0.6888,0.53,0.0257,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659928,37,0.6247,0.0,0.6365,0.67,0.0118,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659929,38,0.6031,0.0,0.6315,0.7,0.0284,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659930,39,0.5842,0.0,0.6267,0.63,0.0425,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659931,40,0.5205,0.0,0.5521,0.73,0.0316,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659931,41,0.6365,0.0,0.6768,0.6,0.0402,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659932,42,0.5902,0.0,0.6175,0.73,0.0274,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659933,43,0.6516,0.0,0.7014,0.5,0.0498,0.97
