compas-alpha_1-beta_0.0-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_1,1571658986,0,0.0417,0.0,0.6909,0.67,0.6492,0.63
compas-alpha_1-beta_0.0-gamma_1,1571658987,1,0.0512,0.0,0.6854,0.53,0.6342,0.6
compas-alpha_1-beta_0.0-gamma_1,1571658987,2,0.0813,0.0,0.6849,0.67,0.6036,0.63
compas-alpha_1-beta_0.0-gamma_1,1571658987,3,0.1765,0.0,0.6936,0.53,0.5171,0.83
compas-alpha_1-beta_0.0-gamma_1,1571658988,4,0.2104,0.0,0.6809,0.57,0.4705,0.9
compas-alpha_1-beta_0.0-gamma_1,1571658988,5,0.3339,0.0,0.6866,0.53,0.3527,0.97
compas-alpha_1-beta_0.0-gamma_1,1571658988,6,0.3172,0.0,0.6551,0.63,0.338,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658989,7,0.257,0.0,0.6306,0.7,0.3736,0.93
compas-alpha_1-beta_0.0-gamma_1,1571658989,8,0.3312,0.0,0.6671,0.63,0.3359,0.93
compas-alpha_1-beta_0.0-gamma_1,1571658989,9,0.3583,0.0,0.6491,0.67,0.2908,0.9
compas-alpha_1-beta_0.0-gamma_1,1571658990,10,0.3844,0.0,0.6679,0.7,0.2835,0.9
compas-alpha_1-beta_0.0-gamma_1,1571658990,11,0.4406,0.0,0.6762,0.6,0.2355,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658991,12,0.4678,0.0,0.6447,0.7,0.1769,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658991,13,0.5024,0.0,0.65,0.63,0.1476,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658992,14,0.5212,0.0,0.6975,0.53,0.1763,0.93
compas-alpha_1-beta_0.0-gamma_1,1571658992,15,0.5752,0.0,0.7385,0.5,0.1633,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658992,16,0.4435,0.0,0.6183,0.7,0.1748,0.97
compas-alpha_1-beta_0.0-gamma_1,1571658993,17,0.558,0.0,0.7253,0.57,0.1673,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658993,18,0.5952,0.0,0.7254,0.6,0.1301,0.97
compas-alpha_1-beta_0.0-gamma_1,1571658993,19,0.5278,0.0,0.6343,0.7,0.1064,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658994,20,0.6486,0.0,0.7471,0.63,0.0985,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658994,21,0.5582,0.0,0.6608,0.67,0.1026,0.97
compas-alpha_1-beta_0.0-gamma_1,1571658995,22,0.5986,0.0,0.663,0.63,0.0643,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658995,23,0.5957,0.0,0.6976,0.63,0.1019,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658995,24,0.5026,0.0,0.6163,0.73,0.1137,0.97
compas-alpha_1-beta_0.0-gamma_1,1571658996,25,0.611,0.0,0.7109,0.53,0.0998,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658996,26,0.5319,0.0,0.6921,0.53,0.1602,0.93
compas-alpha_1-beta_0.0-gamma_1,1571658996,27,0.6777,0.0,0.7467,0.47,0.069,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658997,28,0.6166,0.0,0.6584,0.67,0.0418,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658997,29,0.5235,0.0,0.6159,0.57,0.0924,0.97
compas-alpha_1-beta_0.0-gamma_1,1571658997,30,0.6241,0.0,0.6835,0.63,0.0595,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658998,31,0.5794,0.0,0.6624,0.6,0.083,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658998,32,0.6226,0.0,0.6672,0.63,0.0447,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658999,33,0.5262,0.0,0.602,0.63,0.0758,1.0
compas-alpha_1-beta_0.0-gamma_1,1571658999,34,0.602,0.0,0.6874,0.53,0.0854,0.97
compas-alpha_1-beta_0.0-gamma_1,1571658999,35,0.5697,0.0,0.6178,0.57,0.0481,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659000,36,0.6373,0.0,0.6888,0.53,0.0514,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659000,37,0.6129,0.0,0.6365,0.67,0.0236,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659000,38,0.5747,0.0,0.6315,0.7,0.0569,0.97
compas-alpha_1-beta_0.0-gamma_1,1571659001,39,0.5416,0.0,0.6267,0.63,0.085,0.97
compas-alpha_1-beta_0.0-gamma_1,1571659001,40,0.489,0.0,0.5521,0.73,0.0631,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659002,41,0.5963,0.0,0.6768,0.6,0.0805,0.97
compas-alpha_1-beta_0.0-gamma_1,1571659002,42,0.5628,0.0,0.6175,0.73,0.0548,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659002,43,0.6018,0.0,0.7014,0.5,0.0996,0.97
compas-alpha_1-beta_0.0-gamma_1,1571659003,44,0.5625,0.0,0.6029,0.73,0.0404,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659003,45,0.7247,0.0,0.7493,0.63,0.0246,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659004,46,0.5738,0.0,0.5966,0.67,0.0228,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659004,47,0.6328,0.0,0.6531,0.6,0.0203,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659004,48,0.5869,0.0,0.6161,0.77,0.0292,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659005,49,0.6874,0.0,0.705,0.57,0.0176,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659005,50,0.6012,0.0,0.6287,0.73,0.0275,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659006,51,0.5817,0.0,0.5953,0.7,0.0135,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659006,52,0.6025,0.0,0.6619,0.6,0.0594,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659007,53,0.6832,0.0,0.6985,0.63,0.0152,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659007,54,0.4735,0.0,0.4826,0.93,0.0091,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659007,55,0.6167,0.0,0.6456,0.6,0.0289,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659008,56,0.5556,0.0,0.5946,0.67,0.039,0.97
compas-alpha_1-beta_0.0-gamma_1,1571659008,57,0.6574,0.0,0.6842,0.7,0.0268,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659008,58,0.5924,0.0,0.5997,0.67,0.0072,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659009,59,0.5642,0.0,0.5802,0.77,0.0161,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659009,60,0.7365,0.0,0.7437,0.63,0.0072,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659010,61,0.6304,0.0,0.6458,0.53,0.0153,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659010,62,0.6403,0.0,0.6516,0.6,0.0112,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659011,63,0.526,0.0,0.567,0.63,0.041,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659011,64,0.6272,0.0,0.6317,0.63,0.0045,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659011,65,0.7407,0.0,0.7493,0.47,0.0086,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659012,66,0.5039,0.0,0.5184,0.9,0.0144,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659012,67,0.6059,0.0,0.6144,0.8,0.0084,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659012,68,0.5464,0.0,0.5693,0.73,0.0229,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659013,69,0.4981,0.0,0.511,0.67,0.0129,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659013,70,0.6081,0.0,0.6385,0.53,0.0304,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659014,71,0.5564,0.0,0.5732,0.67,0.0168,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659014,72,0.599,0.0,0.6211,0.57,0.0222,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659014,73,0.6084,0.0,0.6232,0.6,0.0148,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659015,74,0.6178,0.0,0.6373,0.7,0.0195,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659015,75,0.5563,0.0,0.5718,0.8,0.0155,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659016,76,0.6061,0.0,0.6155,0.6,0.0094,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659016,77,0.666,0.0,0.6804,0.57,0.0144,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659016,78,0.671,0.0,0.685,0.63,0.014,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659017,79,0.525,0.0,0.5274,0.73,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659017,80,0.5895,0.0,0.5986,0.63,0.0091,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659017,81,0.6321,0.0,0.6508,0.57,0.0188,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659018,82,0.6195,0.0,0.632,0.67,0.0125,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659018,83,0.5908,0.0,0.632,0.57,0.0412,0.97
compas-alpha_1-beta_0.0-gamma_1,1571659019,84,0.6685,0.0,0.6767,0.7,0.0083,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659019,85,0.56,0.0,0.5659,0.83,0.0059,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659019,86,0.7065,0.0,0.7095,0.57,0.003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659020,87,0.5509,0.0,0.569,0.73,0.0181,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659020,88,0.6512,0.0,0.6552,0.63,0.004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659021,89,0.5994,0.0,0.6052,0.63,0.0059,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659021,90,0.6298,0.0,0.6385,0.7,0.0087,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659021,91,0.5429,0.0,0.5531,0.77,0.0102,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659022,92,0.6308,0.0,0.6373,0.6,0.0065,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659022,93,0.5774,0.0,0.6112,0.7,0.0338,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659023,94,0.6732,0.0,0.6807,0.53,0.0075,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659023,95,0.531,0.0,0.5457,0.8,0.0146,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659023,96,0.6295,0.0,0.6311,0.7,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659024,97,0.5774,0.0,0.5797,0.67,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659024,98,0.6518,0.0,0.6755,0.57,0.0237,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659025,99,0.6663,0.0,0.6748,0.63,0.0085,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659025,100,0.7013,0.0,0.7158,0.7,0.0145,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659025,101,0.6997,0.0,0.7058,0.53,0.0061,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659026,102,0.5923,0.0,0.6079,0.7,0.0157,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659026,103,0.6116,0.0,0.6149,0.7,0.0032,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659027,104,0.6008,0.0,0.6088,0.7,0.008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659027,105,0.6648,0.0,0.6704,0.63,0.0056,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659027,106,0.6491,0.0,0.671,0.57,0.0218,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659028,107,0.5185,0.0,0.5546,0.77,0.0361,0.97
compas-alpha_1-beta_0.0-gamma_1,1571659028,108,0.6102,0.0,0.6202,0.67,0.0099,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659029,109,0.5836,0.0,0.5853,0.77,0.0017,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659029,110,0.5858,0.0,0.5891,0.73,0.0033,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659029,111,0.7295,0.0,0.7422,0.57,0.0127,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659030,112,0.6676,0.0,0.6835,0.63,0.0159,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659030,113,0.6625,0.0,0.6639,0.63,0.0014,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659031,114,0.6639,0.0,0.6658,0.57,0.0019,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659031,115,0.589,0.0,0.5912,0.77,0.0022,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659031,116,0.5881,0.0,0.5906,0.7,0.0025,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659032,117,0.5997,0.0,0.6117,0.63,0.0119,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659032,118,0.5222,0.0,0.5284,0.8,0.0063,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659033,119,0.5769,0.0,0.58,0.87,0.0031,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659033,120,0.5768,0.0,0.5792,0.67,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659033,121,0.6666,0.0,0.6686,0.6,0.002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659034,122,0.6393,0.0,0.6479,0.63,0.0086,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659034,123,0.5645,0.0,0.5701,0.63,0.0056,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659035,124,0.6125,0.0,0.6155,0.7,0.003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659035,125,0.548,0.0,0.5591,0.77,0.0111,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659035,126,0.7129,0.0,0.72,0.57,0.0071,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659036,127,0.6018,0.0,0.6065,0.77,0.0047,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659036,128,0.6399,0.0,0.6407,0.63,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659037,129,0.6099,0.0,0.6149,0.7,0.0049,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659037,130,0.5707,0.0,0.5733,0.73,0.0026,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659037,131,0.5736,0.0,0.5776,0.73,0.0039,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659038,132,0.6272,0.0,0.6298,0.67,0.0026,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659038,133,0.6861,0.0,0.6908,0.67,0.0047,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659039,134,0.6363,0.0,0.6411,0.83,0.0047,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659039,135,0.6437,0.0,0.6587,0.7,0.015,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659039,136,0.6343,0.0,0.6361,0.63,0.0018,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659040,137,0.6504,0.0,0.6516,0.63,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659040,138,0.6607,0.0,0.6662,0.57,0.0055,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659041,139,0.5392,0.0,0.5415,0.8,0.0023,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659041,140,0.6534,0.0,0.6552,0.6,0.0018,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659041,141,0.6851,0.0,0.6861,0.53,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659042,142,0.6672,0.0,0.6681,0.63,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659042,143,0.6201,0.0,0.6233,0.63,0.0032,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659043,144,0.5822,0.0,0.5952,0.7,0.013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659043,145,0.7273,0.0,0.7389,0.57,0.0116,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659043,146,0.6334,0.0,0.6348,0.77,0.0014,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659044,147,0.5729,0.0,0.5777,0.73,0.0048,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659044,148,0.6165,0.0,0.6219,0.77,0.0055,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659045,149,0.6265,0.0,0.6276,0.63,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659045,150,0.6713,0.0,0.6729,0.47,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659045,151,0.6313,0.0,0.636,0.57,0.0047,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659046,152,0.6384,0.0,0.6417,0.6,0.0033,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659046,153,0.5375,0.0,0.5387,0.83,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659047,154,0.6616,0.0,0.6631,0.63,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659047,155,0.7786,0.0,0.7814,0.47,0.0029,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659047,156,0.6382,0.0,0.6414,0.67,0.0032,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659048,157,0.5429,0.0,0.5479,0.83,0.005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659048,158,0.6288,0.0,0.6298,0.7,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659049,159,0.7109,0.0,0.7137,0.53,0.0028,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659049,160,0.6404,0.0,0.6411,0.67,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659049,161,0.5598,0.0,0.5647,0.73,0.0049,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659050,162,0.5601,0.0,0.5624,0.77,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659050,163,0.6044,0.0,0.6148,0.73,0.0104,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659051,164,0.7192,0.0,0.7234,0.63,0.0043,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659051,165,0.5669,0.0,0.5678,0.83,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659051,166,0.6122,0.0,0.615,0.7,0.0028,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659052,167,0.551,0.0,0.5587,0.77,0.0077,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659052,168,0.651,0.0,0.6594,0.6,0.0084,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659053,169,0.6804,0.0,0.682,0.6,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659053,170,0.6084,0.0,0.6094,0.7,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659053,171,0.6762,0.0,0.678,0.57,0.0018,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659054,172,0.5973,0.0,0.599,0.53,0.0017,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659054,173,0.6134,0.0,0.6279,0.8,0.0145,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659055,174,0.6067,0.0,0.6079,0.8,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659055,175,0.6007,0.0,0.6048,0.7,0.0041,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659055,176,0.6122,0.0,0.6131,0.77,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659056,177,0.5836,0.0,0.5843,0.73,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659056,178,0.6177,0.0,0.6321,0.67,0.0144,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659057,179,0.7038,0.0,0.7043,0.57,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659057,180,0.6727,0.0,0.6853,0.6,0.0126,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659057,181,0.5335,0.0,0.5397,0.77,0.0062,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659058,182,0.6698,0.0,0.6772,0.6,0.0074,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659058,183,0.7712,0.0,0.7741,0.47,0.0028,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659058,184,0.5918,0.0,0.5997,0.77,0.0078,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659059,185,0.6632,0.0,0.6638,0.6,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659059,186,0.6256,0.0,0.629,0.63,0.0034,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659060,187,0.7005,0.0,0.7009,0.53,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659060,188,0.6328,0.0,0.6352,0.67,0.0023,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659060,189,0.6741,0.0,0.6772,0.7,0.0031,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659061,190,0.6937,0.0,0.695,0.57,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659061,191,0.6492,0.0,0.6529,0.7,0.0038,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659061,192,0.6897,0.0,0.6901,0.57,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659062,193,0.6963,0.0,0.6968,0.63,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659062,194,0.6974,0.0,0.6977,0.53,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659063,195,0.6762,0.0,0.6819,0.6,0.0057,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659063,196,0.7193,0.0,0.7203,0.73,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659063,197,0.5987,0.0,0.6005,0.63,0.0018,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659064,198,0.5354,0.0,0.5434,0.77,0.0079,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659064,199,0.5474,0.0,0.5499,0.77,0.0025,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659065,200,0.6823,0.0,0.684,0.53,0.0017,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659065,201,0.6096,0.0,0.6097,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659065,202,0.7017,0.0,0.7024,0.5,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659066,203,0.6428,0.0,0.6428,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659066,204,0.5384,0.0,0.545,0.73,0.0066,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659066,205,0.4481,0.0,0.4484,0.9,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659067,206,0.5713,0.0,0.5731,0.77,0.0018,1.0
